name,id,price
Online Ads,ff4e493c-08d6-4692-b716-1e2b4b851421,557576.79
Rebranding,e945dfb1-7ba7-49db-9b80-684c2a15c8a8,221815.88
Marketing Operations,c0121337-c05a-46c4-b2fd-7a13b9587de4,174331.57
Rebranding,30c4a6eb-beda-40fb-bb72-6e13dbe83c08,590000.31
Online Ads,7eae8782-e6ea-4b60-94f4-b229326d097e,353084.6
Online Ads,c7d0d9c6-5ba1-4cfa-95d5-4d15ffa7538f,109718.46
Rebranding,ebf90504-590c-484e-beb0-4d3a02753e7e,329347.9
Online Ads,0e00cce1-ca4c-4a51-a434-7cacd84114b2,135999.99
Product Development,35083755-02be-4afd-8286-eebc2ee62aea,85610.13
Product Development,206fe431-5848-4a01-91f4-3214e98895a5,61951.87
Marketing Operations,01526aa8-cf0d-4cc9-84e1-144fb3c1ca9b,35001.5
Online Ads,15e61ed4-7753-4570-8066-7b47383b7f65,482569.9
Rebranding,db8f142b-aa9d-4ca8-96a1-b3bfe933f537,202393.07
Rebranding,b065e22b-0f7b-49fa-8b97-0427d90acb40,85289.81
Online Ads,b5aad718-80e6-425f-94da-e36602478eda,148384.2
Product Development,7846a209-e9fa-4d03-8c50-ba0c5ea43fe1,174602.23
Rebranding,1b171385-006a-4e51-960c-8baa66edf79e,573767.03
Product Development,4b2e9ae5-90f9-4367-a0a3-e2be93a832a3,91674.09
Rebranding,02c446aa-c62a-49e5-b8d4-f38ad0d40bef,672427.41
Marketing Operations,d97f56a0-811a-4a9f-8ce4-e09b4dfba70b,588433.73
User Testing Tools,66276f96-9e34-41a9-89c3-123476347712,514874.38
Logo Design,d1998b3f-f260-449e-831d-d2176a90e0db,282483.48
Brand Guidelines,4bd343f0-7afb-448a-a6a2-01a0ef361599,30410.64
Market Analysis Reports,ba54698b-f519-4ed7-afb0-4d37e3664120,347518.62
User Testing Tools,f94997a4-b2c9-4168-b2a2-ecadeb2e4157,480390.62
Facebook Ads,d32a5f41-2012-4535-b108-acdda17af7a2,526664.13
Wireframes,98f06a20-e089-4b0b-9ee7-a06895f0a57c,295943.15
Market Analysis Reports,9ecced8f-ca2c-4f07-a256-84396946a0bd,682595.57
Logo Design,f74b4896-a160-4c90-8e30-0b68d8d32476,554582.84
Market Analysis Reports,58337953-9fab-4315-87f4-82ad2d1d774a,310041.89
Wireframes,14cb55d8-10c1-4025-9fd4-cf5a7cdc5437,140915.05
Wireframes,49a90433-85d8-44e7-9eff-bd322e70b737,405483.27
CRM Software,9db5453b-4d7a-423c-bc0d-67331ed7ef1b,333755.58
User Testing Tools,fcef146f-eaf5-488c-be99-f35b9009a924,460659.88
Facebook Ads,06318699-7a33-41cb-948a-75a288a38965,469090.21
CRM Software,fc7f09c4-ef09-4e47-b95b-29a44c4de8f5,59917.12
Email Campaign Tools,48a13131-4a63-44bf-8916-a4a30e9274a7,686497.69
Product Prototypes,edd642b3-885a-4887-8e19-979ce34a1177,256013.82
Facebook Ads,638ae1f7-9607-4648-9fbe-246c218a262b,399747.9
Wireframes,dadd0a8a-ffc0-4e2a-a8f1-94b72f1e8961,86007.26
Google Ads,2a732ec2-6c08-40db-98f5-80463f881c0a,612090.57
Email Campaign Tools,1f874a35-4809-4c09-bba8-7a4df4fe7d42,395007.79
Email Campaign Tools,91a590f1-e030-4d4e-a47b-cb114df82604,578754.91
User Testing Tools,f537a7f2-56d0-4d42-abeb-f102403adee5,574627.08
Email Campaign Tools,8af3d939-7bb0-487c-9c3e-3c47380dc27d,84743.72
Wireframes,7d95a32e-8a1c-4981-9ff2-02d3620abbff,124640.76
Market Analysis Reports,422736db-31e9-4e10-ab87-0589d487810a,241091.76
Facebook Ads,9fccf5b7-62ec-43b9-897f-fec7ab019f29,436716.89
CRM Software,ed815423-15d7-4488-95c2-b409d4070c40,380375.13
Market Analysis Reports,c4b27a0f-c3b9-43fc-8a41-181e49c44f7e,78887.59
Facebook Ads,5ede5cc2-f5cf-4531-bf58-b3764a86f5ab,188081.39
CRM Software,9a2474dd-f256-4172-9e58-3a84fae96fcf,447981.96
Google Ads,7282c855-6b4b-4883-8a5e-e589a8c60cf6,643809.74
CRM Software,77919b78-9120-45d1-b2cb-5a575a36c796,486656.99
Wireframes,cec138a5-7076-4996-ae9d-8ff215bba760,128224.4
Market Analysis Reports,78421d9a-8d1e-4d97-967c-c5ced3cdc645,109003.49
Product Prototypes,164b1f25-a5b3-4d44-876a-df595df62f52,258683.15
Market Analysis Reports,86aa6e29-69f2-40d4-8891-0237472907d4,651320.42
Wireframes,d7f0fcbc-d288-44df-a432-9f01ef508f23,388987.63
CRM Software,24d6c98d-d36b-4c9f-a2d3-6ab21b158f43,512175.46
Facebook Ads,78fbe63a-0930-4394-bbed-79cd49a4b76b,275122.44
CRM Software,c525f392-69dc-42df-8c1c-5cbf15496325,622727.73
CRM Software,89d5f229-031c-48fb-b5ef-0fd1679d1493,649038.31
Email Campaign Tools,0781be6c-bda0-4ec6-b6ca-0f9dc9d766f0,381959.74
Wireframes,7586376c-4ad8-46e1-801f-439a2cfb5cd0,680055.28
Market Analysis Reports,62568a08-00b1-4e60-9e85-aa9ed6bbc5fc,551255.65
Wireframes,a9ec40bb-3826-4e52-ac04-bc7874a5b4c2,415752.96
Google Ads,ae3124c8-5a32-4e46-9187-f932e2e299ab,420452.42
CRM Software,f883c732-0091-4c25-9a4f-ede46d392ee4,585800.35
User Testing Tools,a588fa00-857d-46c9-a181-c5a1fc6acbd8,486652.45
Logo Design,ce774e2f-6582-46b2-954d-ab65a9926dbe,608328.59
Logo Design,63e9bd09-8939-4154-a798-d02660f52451,299740.49
Brand Guidelines,cc2eb053-9b3b-45f4-bd16-4f62c0f24d80,273046.96
User Testing Tools,761e200e-226c-4b87-8cf8-9f3228cb588f,657277.63
Wireframes,f32a4f2b-8f3a-488d-8d3e-0f47a4be09af,645392.83
Brand Guidelines,d9bb8c26-d217-4edc-943c-eb811b6cef50,211235.33
Google Ads,a3b87d6e-b5a8-43a8-9eee-35dcfe11053d,176770.83
Logo Design,7bdd5a66-82fc-4743-8b94-79b2ecfaee09,543366.57
CRM Software,76efd7f9-790e-4cad-bb8d-1b1339a349ec,273758.88
Google Ads,bfde0db7-b76b-45d8-8aa7-4ceff4e9562d,185799.12
Brand Guidelines,821d18b7-391d-4a79-8e0c-b38d91f5e317,453776.35
Wireframes,abbd4096-9f65-40d2-a7b1-f712f33999c9,236669.43
Market Analysis Reports,611d6248-2a49-4e37-86a6-345e4870e9ba,650079.26
User Testing Tools,97e54e97-fced-43a2-a43c-7bca2cb4aee8,42941.56
Email Campaign Tools,e6292996-3d5d-4a1a-885b-1ccda6ce8fcd,684779.53
Wireframes,d7198d36-8a4c-48a6-af88-4644eb70842c,237609.22
Facebook Ads,3b9ad420-d9ec-48f9-bbaa-94d1c41a62b3,339837.14
CRM Software,8bc944b6-74e1-42b8-bc48-aa4b44704347,601762.6
Email Campaign Tools,2447bb3d-cff4-4e5b-bc01-d7b15cc72bca,55001.47
Product Prototypes,c8d31d52-f0c7-4bed-b5e3-7afac1af90f3,36487.83
Product Prototypes,a41e2371-a951-4fc1-81e3-27356caf3e3c,156335.73
Logo Design,93490491-b387-4268-8b9c-18e572eb7adb,588538.5
